Address,Mainnet Indices,Stark Alloc
0x375f95fb45811ace248adc5baee5228d91ffca50,[91047.91049.91050.91052.91053.91063.91081.91082.91083.91084.91085.91086.91087.91088.91089.91090.91135.99491.99492.99493.99494.99495.99496.99497.99498.99502.99503.99504.99505.99506.99507.99508.99509.99510.99511.99512.99513.99514.99515.99516.99517.99518.99519.99520.99521.99522.99523.99524.99525.99526.99527.99528.99529.99530.99532.99533.99534.99535.99536.99537],22766.794727960634
0x12818d6c296cc113840b32ea5cd56a46d0c5bf14,[99538.99539.99540.99541.99542.99543.99544.99545.99546.99547.99548.99549.99551.99552.99553.99554.99555.99563.99564.99565.99566.99567.99568.99569.99570.99571.99572.99574.99575.99576.99577.99578.99579.99581.99582.99583.99584.99585.99586.99587.99588.99589.99590],16341.0281885018
0x25431341a5800759268a6ac1d3cd91c029d7d9ca,[99591.99592.99593.99594.99595.99596.99597.99598.99599.99600.99601.99602.99603.99604.99605.99606.99607.99608.99609.99610.99611.99612.99613.99614.99615.99616.99617.99618.99619.99620.99621.99622.99623.99624.99626.99627.99628.99629],14693.292004452775
0x220abd48f2b444e1a352b6927c885c4579738081,[99630.99631.99632.99633.99634.99635.99636.99637.99638.99639.99640.99641.99642.99643.99644.99645.99646.99647.99648.99649.99650.99651.99652.99653.99654.99655],9896.104710862164
0xaf297dec752c909092a117a932a8ca4aaaff9795,[99656.99657.99658.115027.115028.115029.115030.115031.115032.115033.115034.115035.115036.115037.115038.115039.115040.115041.115042.115043],7766.784236806623
0xc9f9f6cfd655417acb8d1bb00fe77ad9a6d9ca81,[115044.115045.115046.115047.115048.115049.115050.115051.115052.115053.115054.115055.115056.115057.115058.115059.115060.115061.115062],7533.996187122444
0x4c135c941b642904783abd9ed06d86ce00b45105,[115063.115064.115065.115066.115067.115068.115069.115070.115071.115072.115073.115074.115075.115076.115077.115078.115079.115080],7079.257599724833
0x38d0dbecda3b81faa65cdce0cae4c4db30dec786,[115081.115082.115083.115084.115085.115086.115087.115088.115089.115090.115091.115092.115093.115094],5496.866770366957
0xe6edc829cdd57a94ddd759a178840bf5ead1d60d,[115095.115096.115097.115098.115099.115100.115101.115102.115103.115104.115105.115106.115117.115118],5411.104374160345
0x855c4dca95adb9ce63f09b9899882c50ad9cfc8f,[115119.115120.115121.115122.115123.115124.115125.115126.115127.115128],3920.032391112147
0xa796cf39340575f7fecc27f75f328f290960ccd8,[115129.115130.115131.115132.115133.115134.115135.115136.115137],3688.514896520629
0x4ddce06e259a2e583a3b2425e0a135f45b323e75,[115138.115139.115140.115141.115142.115143.115144.115145],3311.4778690619746
0xd6760bdef7e06640988559159bb579b92fe2ec4c,[115146.115147.115148.115149.115150.115151.115152.115153],3070.2505946671413
0x837418516c2ddac24ca71df021101c2ad699f5dd,[115154.115155.115156.115157.115158.115159.115160],2917.0440692796305
0xbd1eb910a8e77d75d7e334f7adb7660750d7bb45,[115161.115162.115163.115164.115165.115166],2548.3584853519806
0xc292eafd5422a9c961cc2630cbddf04c93db33bd,[115167.115168.115169.115170.115171],1986.960233843118
0x021daee385bd0acb6d72c05b03abc1bc81f64970,[115172.115173.115174.115175.115176],1986.7901276305831
0x282742940ee0b7ed028bb48052bb4922282234da,[115177.115178.115179.115180.115181],1979.9625413892823
0x81b47c0803e94768bdb05b9b00b18d609579dccb,[115182.115183.115184.115185.115186],1936.852304518217
0xcc6b5cbb0b32775c11769ceb5b961a51eb026620,[115187.115188.115189.115190],1771.3131348067407
0x37f722118b11a3c9baedfef1dca3423d56a19e58,[115191.115192.115193.115194],1741.8360460391846
0x549c0421c69be943a2a60e76b19b4a801682cbd3,[115195.115196.115197.115198],1646.547026956387
0x1d5e65a087ebc3d03a294412e46ce5d6882969f4,[115199.115200.115201.115202],1596.4873588908413
0x0085d428ac99c42b30cb38373b1c233846891c9a,[115203.115204.115205.115206],1570.7812307719355
0xa6fbeaac65de6d6fc900d95932d9320aad9128f0,[115207.115208.115209],1356.8008647463516
0x013c7a3c90f3e4642493c235892ef3a8e5738b77,[115210.115211.115212],1294.9055946616702
0xc255e0a1be0a4b7b8bf5ebe8d0aba162cf75bae2,[115213.115214.115215],1283.5898304677316
0x66ca70f1a348bdc66bb201e09eae4009d1d1e7e8,[115216.115217],1110.970008524631
0x4e65175f05b4140a0747c29cce997cd4bb7190d4,[115218.115219],1071.1239048591965
0xf5bce02e24313618ed2e8318dee2b86bf53cd53c,[115220.115221],1062.7884277486878
0x45c1fab28ad1393bdf34bf27f50d0cf70f09b271,[115222.115223],1055.2729822476751
0x2321f612a30970269a9b2813c622c98d31903963,[115224.115225],1019.9182910347564
0x4b581deda2f2c0650c3dfc506c86a8c140d9f699,[115226.115227],920.9251309806614
0x24d734a75166e66000c8d7f12a173e41358e3cc1,[115228.115229],765.1714877546233
0x535b24392402226627440501acfd62bb57cc2512,[115230],732.1121959440263
0x3b15cec2d922ab0ef74688bcc1056461049f89cb,[115232],704.749049875226
0xed18d1e55c4bba34abdf950119964ae3a9a10e04,[115233],668.6862974754911
0x7ed716a3c0a634fa033cad0e53bc5fdbc838e23b,[115234],647.4527973308351
0x4b0632d547c56a874fe48d8af659a8d6c2045710,[115235],635.6809282884562
0x60be6061804402be92fbef1fc3027481b58a4dd9,[115236],625.8393373366386
0xe9b05bc1fa8684ee3e01460aac2e64c678b9da5d,[115237],604.2111457546213
0x7d89900543fb8723c21faecefeb6e7fc96f8a2ad,[115238],590.4335644811791
0x0f7d716eeeac23f33fbc7dfeec43ee94435158e7,[115239],588.593452118941
0x4165fa8368c95b50a7ece227dca2f7490689f0b7,[115240],588.593452118941
0xff45f53a08c131b5966d50ffe1eedaf8cad1ae47,[115241],588.593452118941
0x336886353b4a5020904a1502fd392555c0e1d042,[115242],585.2836972007436
0x2a27701cc0b411805617ad9c130ae9d488073136,[115243],583.264718792449
0xfe51263bd0d075dc5441e89ecd1f6d63ff41e02e,[115244],575.5380454526897
0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e,[115245],549.2578249871038
0x84b7644095d9a8bfdd2e5bfd8e41740bc1f4f412,[115246],538.0770369325387
0xd5400fbd57be428ae186cde13f5ce70b3199c7fb,[115247],515.2608524858487
0xc39f920ced82a75918455d98f28ef0701fea8425,[115248],491.06932934706833
0x5fb6e7e6cd299449a02fe47cccd5cb70ff9dc632,[115249],485.1521540273951
0x5d33d8322ec6e9a789200cc144245a13015e5172,[115250],470.87476169515276
0xac2ab9b32339b9ce6589b93e140bb73c4c255128,[115251],470.87476169515276
0x2cab3506ad7cee6fe29f3a4695f69488baad98ec,[115252],470.43046165920185
0x878a53cdffcf91c8c4f35d6595c2ecc6040eebb9,[115253],464.9888271739633
0xfc07c2b21839396d3f18384a360576796ae95b3b,[115254],459.10289265277396
0x006fc62334b3fbba68d9f599bb680995010f140f,[115255],458.88178755216967
0x492f38a5566a696d5af8ac592902291816d44409,[115256],450.604272200613
0x736dde3e0f5c588ddc53ad7f0f65667c0cca2801,[115257],435.00369717336355
0x383a5e260411d7e91e4dde7de0622d52c7c7f9c3,[115258],417.8191162553776
0x995e2cfde1de48309d6b1b860cbba8cb01c0f2d6,[115259],417.3286424926066
0x57cffbcfbd17ee93fdb44c8f77e07e3a9f707127,[115260],410.47399163294216
0x3302bf726082fc8f3adb9c2f85279c73812f9b00,[115261],400.2067603501224
0x755611a5f073138dd9b60131122051526629982c,[115262],399.65005714838054
0xf2cca9499fa00dcbf70c80ae7c0a129904385963,[115263],391.4371606070929
0x1813da50890f5ba64fe9b7c56ce69c1388c59112,[115264],386.8616819092192
0x29687e2a2b38bbc1f4f9069f1f24f13a3c83d27d,[115265],385.98675560976875
0x996ebc864b11444c26f2fbb779cb1d26086ff20b,[115266],382.6255486478265
0xf87766e79a11c77b3472dbe3aa45795f579564d4,[115267],362.2187182278214
0x2d3624cbba3c416e77e6a4fc1d795bc61cb484cb,[115268],361.12553871927423
0x6c4d27d3ae62b6c1eaa9b732377f7ddf3cf2b1e6,[115269],347.8263619432677
0x829148aba1177c4b6a6a3dbca3e165fd34094e1b,[115270],343.1838574515586
0x35ffc49e7fefc188dff81db3c717db098294bc23,[115271],339.4367863787928
0x4e7e322cedd9c7c4a80fceb01f6a1e8b872a99c4,[115272],307.22323830990393
0xe9aee0ae983498caeb04dfdce57d79079bac8cc5,[115273],294.12846047498317
0x3113558ea6918c3ae1d9247d1d7a3f9eff5888d8,[115274],293.9939260862029
0x6e93dd71b24e02233455a37438c553ede66eba89,[115275],291.97723884306174
0x99655b07f321b6b5a2809f43e1a143d7f7a1634f,[115276],290.50885477309396
0x19b221f64b8ec412451f73b45e919444e4a62d26,[115277],290.01555697431246
0xdbeade0fcd8720be521fd2e04eaf00974f4c2e3a,[115278],282.7763087603571
0x1b51cce51e2531c478daa9b68eb80d47247dcbec,[115279],282.5248570170917
0x18b3eedadc9a4a6d35905d4a416dfff239f067d5,[115280],278.3394267857349
0xdf84b6941601d20e8b0a8fd787541709144e4c8e,[115281],267.6190002966509
0x80795df53cd359d98acba7348db35cf301162f7d,[115282],263.79039272859916
0xf486d56cce70c481b3455af901fcc4f03fee8107,[115283],253.98659421646357
0xb41e08356ceb25cb83bfbba56b6fabd6950f2cd7,[115284],253.40883948487246
0x6b98bc3c7ad2819088d63adddc306a5050858662,[115285],241.32331536876578
0x670647441d9c24d981923c9293a2e4eae6d0c8b3,[115286],236.20212884872686
0x7e7afaafd27f723e7178cb439982ad286508febc,[115287],236.17312266272506
0x6e3167c7b68f92a9c33278d5ad059e150f06b50c,[115288],235.43738084757638
0x61c64b569ea071e575308fccdf0b93d505a21e18,[115289],235.43738084757638
0xf03bd3cfe85f00bf5819ac20f0870ce8a8d1f0d8,[115290],227.88695120582625
0x1d83e2baa5dcb893f29ec25beef24d3632238bcb,[115291],223.66551180519758
0x39c62c52c1ab6b02e4ab2f34bcbdf3e385f97907,[115292],222.1000101952567
0xa1ca0c5ec69b5c3740557cade7342a91c0671521,[115293],214.8384201290943
0x13b37d355cdf1eacefa26a56d6c754ddd0c9e699,[115294],211.70970730903156
0x4e5a83140d2a69ee421f9b00b92df9ee27d7dffa,[115295],202.1271168080843
0xd3afab123a5e6f6be87291935b5fe5056bb64b6b,[115296],199.4416115321494
0xbaa1c98e93a692b70a0aa1cb74f35aee1ed3dbc2,[115297],190.6377490134713
0x2eaeacefebb26e9e18c4d5110009cb027aa7ee74,[115298],180.07145892385842
0x6c471deb9af02466f2b6b23ad70890c94f199f80,[115299],178.4647628239359
0x723c121dea46af913be0d357b0659869c3338d1b,[115300],176.57803563568228
0x100f1a940f5ab82c5472701abeef19763c296a6d,[115301],173.27220305721454
0x052927cc2b7dc74c20d7cc83bd001d968b206cdf,[115302],172.9968123504461
0x4a7dc0a1f68ecffd1588df798d95c95c8aa7efd9,[115303],170.65412498543992
0xd056666321700092b032b2571431b2478cd6512e,[115304],168.45544599644091
0xa75204de25e91f82c5b0b849b247515153ac61e9,[115305],165.3947600454224
0x64b44d5d2fffc1f6a025488f689bc7fec38084b3,[115306],164.80616659330346
0x8760b032c5b69c4669e3603835d777634de47b7f,[115307],164.7433358571902
0x82e8936b187d83fd6eb2b7dab5b19556e9deff1c,[115308],162.26224753190837
0x6c264184bac13ebda4e716cdbf096285402b8433,[115309],160.85678818317524
0x4e3d3968f3b95bde51c2caa3579cdbfe3c24b192,[115310],156.9489613460952
0x00f928a6adc7c345ef919fe5a8be2458580ef9f6,[115311],153.0138520460762
0x5709c73391e223aea2f0d43837f7132d0c8f388c,[115312],141.48272876147382
0xcc3d88d750ac042c4696dacffad8ea2cd34b114f,[115313],140.89990276525853
0x111086f05d91f6657d435b9483c5d7553c3d79ca,[115314],134.7816766349666
0xd7c6a86b7d67c363176b412ced35b7ed84b31092,[115315],130.6677463704049
0x9fed225115a1374c7f0faef307d471c80fff1893,[115316],129.6349552797591
0x809e7b210f8c599ceafc3cff49f4863b2da07c59,[115317],129.285346180923
0xc758f4d525fea924becdaff30d9daa1781ed45e3,[115318],128.56592045887845
0xe58d49e75f24bf92c283c6b8f1c995b69206f380,[115319],127.13618565769126
0x34fabbc7169c310ccf6c721e862eaabbfc779467,[115320],123.6046249449776
0x805197344c4f5d990cfbc23e032631aef0a6987a,[115321],121.66996790659766
0x2f111217a1c2cff0feed39addf471ceac3064ecb,[115322],118.68869243288022
0x89cff61026f6743b8d25ae9b253582083136b1c4,[115323],118.08656133136253
0x9a885ca8758f2fca5ec79d49747052cb31381b7e,[115324],117.71869042378819
0x115a60698ebdf87a31a01c7d45b8a7c5fb381ec5,[115325],117.71869042378819
0x3bba937a4db82bfabe6aef7015a75e9f870533b7,[115326],117.71869042378819
0x42b37319dc321f9d9cd6a9316a73869e68d36a24,[115327],117.71869042378819
0x666f03cb07876a52f38277992b2fe7ed3bcbc397,[115328],117.71869042378819
0x8ce4627367cb4d0bdbce1a0951864f08c9351a84,[115329],117.71869042378819
0x73849dd5790f29bdac8502760602e4360bb6bc1e,[115330],117.42979748923906
0x5e284d05958db25faf6b22c4c69ef8ad2965ab21,[115331],111.83275590259879
0xe232434d6c50613bc3da96be75fd36c2351365f9,[115331],110.6555689983609
0xf721370944d3321d0d3a949ef2d8446e64c352d7,[115332],109.14704807005457
0xe98f4f21127386169061026771fba11fd1b18ea8,[115332],107.07373367660554
0x1daaecfddc0ea8fb5225de39ae9be5142b939b04,[115332],103.5642362400706
0x194425e585bb98f3394ec041ada5cc7be5da59b9,[115332],100.6494803123389
0xc627534f95656fa358010d59f3fddb7123bbce91,[115333],94.79302190197562
0x8cb33d13e9270910ce9475c48aec8acd6c18767b,[115333],94.17495233903054
0x90abcf1598ed3077861bcfb3b11efcd1d7277223,[115333],94.17495233903054
0xaf77ecd5349e8a736b1aa651366845607824d1bc,[115334],94.17495233903054
0x1a9836f6dcc253332ee707bd9808ab3d79d973d5,[115334],92.71334397313332
0xd2bc4e7ecfa4ec39069623854cd114dcd8771b84,[115334],89.55434220763492
0x1f5e4628f133fea52a1d70442ef633731d31ebf2,[115334],87.26460823570268
0xa1875f808db4a8ed0245984a6d15471bc72558c5,[115334],84.65322173385917
0x555b84da791b4a807d83b3535c47283e086f7f38,[115335],83.61721104328771
0x248cbf759ceee07370b8e1e842a90d48e3cbe473,[115335],82.67509311414655
0xd095dae00f18abd8564e6146fed7bc1b1aa83982,[115335],82.40308329665173
0xfe1028e5d69065d1a88842903cb278e43687e17a,[115335],82.40308329665173
0xb367e8de6193ca3ab9de68c599b4eb69e8d2b249,[115336],81.46133377326143
0x13e83b7b40ae3d2746683bccd41b520f0a44406f,[115336],80.61589285347408
0x84120647a1cb516d0b679af75f60456c3f909cf9,[115336],76.51714877546232
0xb84848ce4a46a44f06864b5decc2fe07b842cf30,[115336],73.75505294429477
0x942d89ff467fad1eadc489e9b8a893ddb18c35f4,[115336],71.63806809138057
0x4802de6e932f46be3d2b0d5e3ca6448cafc4e538,[115337],70.63121425427292
0x955d81e9a0ef56f332312b0cc476fc6235478b0f,[115337],70.63121425427292
0xd143d3d16a9f0c13fd6a25bd3e6a1644b14f41bf,[115337],69.75044585726734
0x610c92c70eb55dfeafe8970513d13771da79f2e0,[115337],68.35659294661917
0xea94c9a3bcc2bf5a3c08e3de1ccc64c6b6049710,[115337],64.61578917361733
0x58480f6f52fed34f53149d1f323718c678b5ad1e,[115338],61.8023124724888
0x3a5a0f53211f1f12ba8cf63a3dcff64aa93557ad,[115338],61.60071761093795
0xcc915b7884209e7c6fab158f57f854517f4a7bd8,[115338],59.09478259274168
0xe0c0f2990ae8507ea9fad84aaa6de44a27093cce,[115338],58.859345211894095
0x4c47645070fe67173e0438315ae392430f65911a,[115338],56.15181533214697
0x6a93946254899a34fdcb7fbf92dfd2e4ec1399e7,[115338],53.533647544933295
0x31c09f0616532f7a6f33d9ee4e1f45ea529481af,[115338],52.80866939606847
0xf2b506a799159ac4add1ad7182d1635b6cf5dc24,[115339],47.79302122127219
0x0a610a7de5b6ecb6c8032593e90f7e46f9aafdaf,[115339],47.08747616951527
0x0fbc9fad1e28598d97d4dec8dcf54c8e46e835e4,[115339],47.08747616951527
0x21a3d6449c433bd1c15060b6b9f391e8ea039185,[115339],47.08747616951527
0x3756681f03dd2c8b5cce162d22986ed86c385b10,[115339],47.08747616951527
0x63cbc7652f7390c76ab01b087c0f522e5113fd7a,[115339],47.08747616951527
0x69224dba1d77bfe6ea99409ab595d04631d95c22,[115339],47.08747616951527
0xa23f5ded2bcc597b1aa858a1299aa7f83ea9455c,[115339],46.84026691962532
0xe87821bab2638e5a1f2d64a9c191463d3034c2a1,[115340],46.21732779269792
0x1a70c9b568351745a1ba3d66ed776dc82d3d95c3,[115340],45.39869659287705
0x81ec71575ac70056a6b5f1f3553ee82ad6960f9c,[115340],44.73310236103951
0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,[115340],43.88880706831029
0xad29b73216ec1a063a1f3e9454c6bacbb74d35ee,[115340],43.79135283764921
0x45b1827e9aa31f9de17bdad0fe0eecefff086207,[115340],42.37872855256374
0xd455712e43582134f101a0c686d26548b5438a3b,[115340],41.439286944410796
0xb817236ef3f092c26395a7f5b5f9041172d17353,[115340],41.04532771075599
0x6035379e61a57951101aa01723ee60da8477cc07,[115340],37.63137067282172
